domain,category,severity,threat_sources
1win-iii-official9.xyz,PHISHING,3,brand-imitation
1win-jjj-official10.xyz,PHISHING,3,brand-imitation
1win-jjj-official12.xyz,PHISHING,3,brand-imitation
1win-jjj-official14.fun,PHISHING,3,brand-imitation
1win-jjj-official15.fun,PHISHING,3,brand-imitation
1win-jjj-official2.xyz,PHISHING,3,brand-imitation
1win-jjj-official7.xyz,PHISHING,3,brand-imitation
1win-jjj-official8.xyz,PHISHING,3,brand-imitation
1win-jjj-official9.xyz,PHISHING,3,brand-imitation
1win-lll-official10.xyz,PHISHING,3,brand-imitation
1win-lll-official11.xyz,PHISHING,3,brand-imitation
1win-lll-official12.xyz,PHISHING,3,brand-imitation
1win-lll-official3.xyz,PHISHING,3,brand-imitation
1win-lll-official6.xyz,PHISHING,3,brand-imitation
1win-lll-official7.xyz,PHISHING,3,brand-imitation
1win-lll-official8.xyz,PHISHING,3,brand-imitation
1win-lll-official9.xyz,PHISHING,3,brand-imitation
1win-login-bangladesh.com,PHISHING,3,brand-imitation
1win-lpq-official10.fun,PHISHING,3,brand-imitation
1win-lpq-official11.fun,PHISHING,3,brand-imitation
1win-lpq-official12.fun,PHISHING,3,brand-imitation
1win-lpq-official4.xyz,PHISHING,3,brand-imitation
1win-lpq-official6.xyz,PHISHING,3,brand-imitation
1win-lpq-official7.xyz,PHISHING,3,brand-imitation
1win-lpq-official8.xyz,PHISHING,3,brand-imitation
1win-mmm-official11.xyz,PHISHING,3,brand-imitation
1win-mmm-official12.xyz,PHISHING,3,brand-imitation
1win-mmm-official13.xyz,PHISHING,3,brand-imitation
1win-mmm-official14.xyz,PHISHING,3,brand-imitation
1win-mmm-official15.xyz,PHISHING,3,brand-imitation
1win-mmm-official16.xyz,PHISHING,3,brand-imitation
1win-mmm-official18.xyz,PHISHING,3,brand-imitation
1win-mmm-official20.xyz,PHISHING,3,brand-imitation
1win-nnn-official12.xyz,PHISHING,3,brand-imitation
1win-nnn-official13.xyz,PHISHING,3,brand-imitation
1win-nnn-official14.xyz,PHISHING,3,brand-imitation
